No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
84,Tyler Davis\DaviTy02,24,TE,14,0,,,ConnecticutGeorgia Tech,4/2/1997,1,0,Jacksonville Jaguars / 6th / 206th pick / 2020
81,Josiah Deguara\DeguJo00,24,TE,16,2,238,6-2,Cincinnati,2/14/1997,1,2,Green Bay Packers / 3rd / 94th pick / 2020
28,AJ Dillon\DillAJ00,23,RB,17,2,247,6-0,Boston Col.,5/2/1998,1,9,Green Bay Packers / 2nd / 62nd pick / 2020
29,Rasul Douglas\DougRa00,27,CB,12,9,209,6-2,West Virginia,8/29/1994,4,4,Philadelphia Eagles / 3rd / 99th pick / 2017
47,Joe Fortunato\FortJo02,27,LS,1,0,240,6-5,Delaware,4/7/1994,Rook,0,
38,Innis Gaines\GainIn00,23,DB,1,0,207,6-2,TCU,8/29/1998,Rook,0,
40,Tipa Galeai\GaleTi01,24,DE,7,0,235,6-5,Utah St.,2/26/1997,1,1,
53,Jonathan Garvin\GarvJo00,22,DL,16,1,257,6-4,Miami (FL),7/28/1999,1,1,Green Bay Packers / 7th / 242nd pick / 2020
52,Rashan Gary\GaryRa00,24,DL,16,16,277,6-5,Michigan,12/3/1997,2,7,Green Bay Packers / 1st / 12th pick / 2019
54,Ladarius Hamilton\HamiLa01,23,LB,6,0,261,6-2,North Texas,1/18/1998,Rook,0,
67,Jake Hanson\HansJa00,24,OL,5,0,296,6-4,Oregon,4/29/1997,Rook,0,Green Bay Packers / 6th / 208th pick / 2020
90,Jack Heflin\HeflJa00,23,DT,4,0,304,6-3,Northern IllinoisIowa,3/8/1998,Rook,0,
32,Kylin Hill\HillKy00,23,RB,8,0,214,5-10,Mississippi St.,8/18/1998,Rook,0,Green Bay Packers / 7th / 256th pick / 2021
22,Shemar Jean-Charles\JeanSh00,23,CB,14,0,184,5-10,Appalachian St.,6/20/1998,Rook,1,Green Bay Packers / 5th / 178th pick / 2021
74,Elgton Jenkins\JenkEl00,26,OL,8,8,311,6-5,Mississippi St.,12/26/1995,2,5,Green Bay Packers / 2nd / 44th pick / 2019
33,Aaron Jones\JoneAa00,27,RB,15,15,208,5-9,Texas-El Paso,12/2/1994,4,9,Green Bay Packers / 5th / 182nd pick / 2017
96,Kingsley Keke\KekeKi00,25,DL,12,8,288,6-3,Texas A&M,9/26/1996,2,3,Green Bay Packers / 5th / 150th pick / 2019
79,Dennis Kelly\KellDe00,31,OT,10,4,321,6-8,Purdue,1/16/1990,9,3,Philadelphia Eagles / 5th / 153rd pick / 2012
20,Kevin King\KingKe01,26,CB,10,6,200,6-3,Washington,5/5/1995,4,2,Green Bay Packers / 2nd / 33rd pick / 2017
95,Tyler Lancaster\LancTy00,27,DL,16,3,313,6-3,Northwestern,11/4/1994,3,2,
13,Allen Lazard\LazaAl00,26,WR,15,13,227,6-5,Iowa St.,12/11/1995,3,5,
89,Marcedes Lewis\LewiMa00,37,TE,17,17,267,6-6,UCLA,5/19/1984,15,2,Jacksonville Jaguars / 1st / 28th pick / 2006
10,Jordan Love\LoveJo03,23,QB,6,1,219,6-4,Utah St.,11/2/1998,Rook,2,Green Bay Packers / 1st / 26th pick / 2020
94,Dean Lowry\LowrDe00,27,DE,17,17,296,6-6,Northwestern,6/9/1994,5,7,Green Bay Packers / 4th / 137th pick / 2016
58,Isaiah McDuffie\McDuIs00,22,LB,13,0,227,6-1,Boston Col.,7/21/1999,Rook,1,Green Bay Packers / 6th / 220th pick / 2021
50,Whitney Mercilus\MercWh00,31,DE,4,0,258,6-4,Illinois,7/21/1990,9,0,Houston Texans / 1st / 26th pick / 2012
82,David Moore\MoorDa03,26,WR,1,0,215,6-0,East Central (OK),1/15/1995,4,0,Seattle Seahawks / 7th / 226th pick / 2017
71,Josh Myers\MyerJo00,23,OL,6,6,310,6-5,Ohio St.,7/16/1998,Rook,3,Green Bay Packers / 2nd / 62nd pick / 2021
70,Royce Newman\NewmRo00,24,OL,17,16,310,6-5,Mississippi,8/17/1997,Rook,8,Green Bay Packers / 4th / 142nd pick / 2021
73,Yosuah Nijman\NijmYo01,25,OL,17,8,314,6-7,Virginia Tech,1/2/1996,1,6,
62,Lucas Patrick\PatrLu00,28,G,17,13,313,6-3,Duke,7/30/1993,4,7,
47,Chauncey Rivers\RiveCh01,24,DE,4,0,259,6-2,GeorgiaEast Mississippi CCMississippi St.,6/12/1997,1,0,
12,Aaron Rodgers\RodgAa00,38,QB,16,16,225,6-2,Butte JC (CA)California,12/2/1983,16,15,Green Bay Packers / 1st / 24th pick / 2005
8,Amari Rodgers\RodgAm00,22,WR,16,1,212,5-9,Clemson,9/23/1999,Rook,1,Green Bay Packers / 3rd / 85th pick / 2021
76,Jon Runyan\RunyJo00,24,OL,17,16,307,6-4,Michigan,8/8/1997,1,8,Green Bay Packers / 6th / 192nd pick / 2020
26,Darnell Savage Jr.\SavaDa00,24,S,17,17,198,5-11,Maryland,7/30/1997,2,5,Green Bay Packers / 1st / 21st pick / 2019
36,Vernon Scott\ScotVe00,24,S,3,0,202,6-2,TCU,9/11/1997,1,0,Green Bay Packers / 7th / 236th pick / 2020
93,Tedarrell Slaton\SlatTe00,24,DT,17,0,330,6-4,Florida,10/3/1997,Rook,1,Green Bay Packers / 5th / 173rd pick / 2021
9,Jaylon Smith\SmitJa05,26,OLB,2,0,245,6-2,Notre Dame,6/14/1995,4,0,Dallas Cowboys / 2nd / 34th pick / 2016
91,Preston Smith\SmitPr00,29,DE,16,16,265,6-5,Mississippi St.,11/17/1992,6,7,Washington Redskins / 2nd / 38th pick / 2015
55,Za'Darius Smith\SmitZa00,29,DE,1,0,272,6-4,East Mississippi CCKentucky,9/8/1992,6,0,Baltimore Ravens / 4th / 122nd pick / 2015
19,Equanimeous St. Brown\St.BEq00,25,WR,13,2,214,6-5,Notre Dame,9/30/1996,3,1,Green Bay Packers / 6th / 207th pick / 2018
21,Eric Stokes\StokEr00,22,CB,16,14,194,6-0,Georgia,3/1/1999,Rook,4,Green Bay Packers / 1st / 29th pick / 2021
39,Chandon Sullivan\SullCh00,25,CB,17,10,189,5-11,Georgia St.,8/7/1996,3,4,
44,Ty Summers\SummTy00,26,LB,14,0,241,6-1,TCU,12/31/1995,2,1,Green Bay Packers / 7th / 226th pick / 2019
86,Malik Taylor\TaylMa01,26,WR,10,0,220,6-1,Ferris St.,12/21/1995,1,0,
27,Patrick Taylor\TaylPa01,23,RB,9,0,223,6-3,Memphis,4/29/1998,Rook,1,
85,Robert Tonyan\TonyRo00,27,TE,8,5,237,6-5,Indiana St.,4/30/1994,3,2,
77,Billy Turner\TurnBi00,30,OT,13,13,310,6-5,North Dakota St.,10/17/1991,7,8,Miami Dolphins / 3rd / 67th pick / 2014
83,Marquez Valdes-Scantling\ValdMa00,27,WR,11,7,206,6-4,North Carolina St.South Florida,10/10/1994,3,4,Green Bay Packers / 5th / 174th pick / 2018
78,Cole Van Lanen\VanxCo00,23,G,1,0,312,6-5,Wisconsin,4/23/1998,Rook,0,Green Bay Packers / 6th / 214th pick / 2021
88,Juwann Winfree\WinfJu00,25,WR,7,0,215,6-3,Colorado,9/4/1996,2,1,Denver Broncos / 6th / 187th pick / 2019
46,Steven Wirtel\WirtSt01,24,LS,9,0,235,6-4,Iowa St.,10/3/1997,Rook,0,
24,Isaac Yiadom\YiadIs00,25,CB,16,1,190,6-1,Boston Col.,2/20/1996,3,1,Denver Broncos / 3rd / 99th pick / 2018
,Team Total,25.9,,17,,243.9,6-1.5,,,3.0,,
