No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
43,Micah Kiser\KiseMi00,26,ILB,10,2,244,6-0,Virginia,1/25/1995,3,2,Los Angeles Rams / 5th / 147th pick / 2018
3,Drew Lock\LockDr00,25,QB,6,3,228,6-4,Missouri,11/10/1996,2,3,Denver Broncos / 2nd / 42nd pick / 2019
37,P.J. Locke\LockPJ00,24,DB,16,0,202,5-10,Texas,2/12/1997,1,1,
6,Sam Martin\MartSa01,31,P,17,0,211,6-1,Appalachian St.,2/27/1990,8,2,Detroit Lions / 5th / 165th pick / 2013
70,Bobby Massie\MassBo00,32,T,13,13,316,6-6,Mississippi,8/1/1989,9,7,Arizona Cardinals / 4th / 112th pick / 2012
8,Brandon McManus\McMaBr01,30,K,17,0,201,6-3,Temple,7/25/1991,7,4,
77,Quinn Meinerz\MeinQu02,23,OL,15,9,320,6-3,Wisconsin–Whitewater,11/15/1998,Rook,4,Denver Broncos / 3rd / 98th pick / 2021
58,Von Miller\MillVo00,32,OLB,7,7,250,6-3,Texas A&M,3/26/1989,10,4,Denver Broncos / 1st / 2nd pick / 2011
48,Andre Mintze\MintAn00,23,OLB,6,0,249,6-3,Vanderbilt,9/10/1998,Rook,1,
89,David Moore\MoorDa03,26,WR,2,0,215,6-0,East Central (OK),1/15/1995,4,0,Seattle Seahawks / 7th / 226th pick / 2017
52,Netane Muti\MutiNe00,22,OL,15,3,315,6-3,Fresno St.,3/27/1999,1,2,Denver Broncos / 6th / 181st pick / 2020
13,Michael Ojemudia\OjemMi00,24,CB,2,1,200,6-1,Iowa,9/12/1997,1,0,Denver Broncos / 3rd / 77th pick / 2020
85,Albert Okwuegbunam\OkwuAl00,23,TE,14,6,258,6-5,Missouri,4/25/1998,1,3,Denver Broncos / 4th / 118th pick / 2020
94,Aaron Patrick\PatrAa00,25,DE,12,1,245,6-4,East. Kentucky,12/21/1996,Rook,1,
81,Tim Patrick\PatrTi00,28,WR,16,16,212,6-4,Utah,11/23/1993,3,6,
98,Mike Purcell\PurcMi00,30,DT,13,10,328,6-3,Wyoming,4/20/1991,8,6,
59,Malik Reed\ReedMa01,25,LB,14,13,235,6-2,Nevada,8/5/1996,2,7,
66,Dalton Risner\RisnDa00,26,OL,15,15,312,6-5,Kansas St.,7/13/1995,2,6,Denver Broncos / 2nd / 41st pick / 2019
42,Curtis Robinson\RobiCu00,23,,3,0,236,6-3,Stanford,6/2/1998,Rook,0,
4,Brett Rypien\RypiBr00,25,QB,1,0,202,6-2,Boise St.,7/9/1996,1,0,
82,Eric Saubert\SaubEr00,27,TE,17,4,253,6-5,Drake,5/1/1994,4,0,Atlanta Falcons / 5th / 174th pick / 2017
71,Austin Schlottmann\SchlAu00,26,G,10,1,300,6-6,TCU,9/18/1995,2,1,
31,Justin Simmons\SimmJu00,28,FS,17,17,202,6-2,Boston Col.,11/19/1993,5,12,Denver Broncos / 3rd / 98th pick / 2016
11,Diontae Spencer\SpenDi00,29,WR,15,0,170,5-8,McNeese St.,3/19/1992,2,0,
51,Marquiss Spencer\SpenMa00,24,DE,1,0,300,6-4,Mississippi St.,7/16/1997,Rook,0,Denver Broncos / 7th / 253rd pick / 2021
99,Shamar Stephen\StepSh00,30,DT,17,0,310,6-5,Connecticut,2/25/1991,7,1,Minnesota Vikings / 7th / 220th pick / 2014
30,Caden Sterns\SterCa00,22,S,15,2,207,6-1,Texas,11/2/1999,Rook,2,Denver Broncos / 5th / 152nd pick / 2021
40,Justin Strnad\StrnJu00,25,LB,16,5,238,6-3,Wake Forest,8/21/1996,Rook,3,Denver Broncos / 5th / 178th pick / 2020
2,Patrick Surtain II\SurtPa01,21,CB,16,15,202,6-2,Alabama,4/14/2000,Rook,7,Denver Broncos / 1st / 9th pick / 2021
14,Courtland Sutton\SuttCo00,26,WR,17,16,216,6-4,SMU,10/10/1995,3,7,Denver Broncos / 2nd / 40th pick / 2018
57,Pita Taumoepenu\TaumPi00,27,OLB,4,0,245,6-1,Utah,3/9/1994,4,0,San Francisco 49ers / 6th / 202nd pick / 2017
54,Barrington Wade\WadeBa00,23,LB,4,0,232,6-1,Iowa,3/16/1998,Rook,0,
91,Stephen Weatherly\WeatSt00,27,OLB,9,1,262,6-5,Vanderbilt,3/19/1994,5,1,Minnesota Vikings / 7th / 227th pick / 2016
90,DeShawn Williams\WillDe04,29,DT,15,8,292,6-1,Clemson,12/29/1992,5,5,
33,Javonte Williams\WillJa10,21,RB,17,1,220,5-10,North Carolina,4/25/2000,Rook,8,Denver Broncos / 2nd / 35th pick / 2021
19,Seth Williams\WillSe00,21,WR,2,1,211,6-3,Auburn,4/10/2000,Rook,0,Denver Broncos / 6th / 219th pick / 2021
41,Kenny Young\YounKe03,27,MLB,6,6,234,6-1,UCLA,11/15/1994,3,3,Baltimore Ravens / 4th / 122nd pick / 2018
,Team Total,25.9,,17,,241.3,6-2.0,,,2.9,,
