No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
32,Darrynton Evans\EvanDa02,23,RB,1,0,200,5-11,Appalachian St.,7/9/1998,1,0,Tennessee Titans / 3rd / 93rd pick / 2020
54,Rashaan Evans\EvanRa01,26,ILB,12,11,232,6-2,Alabama,11/8/1995,3,6,Tennessee Titans / 1st / 22nd pick / 2018
3,Caleb Farley\FarlCa00,23,CB,3,1,197,6-2,Virginia Tech,11/2/1998,Rook,0,Tennessee Titans / 1st / 22nd pick / 2021
21,Matthias Farley\FarlMa00,29,DB,17,0,209,5-11,Notre Dame,7/15/1992,5,1,
54,Sharif Finch\FincSh00,26,LB,1,0,250,6-4,Temple,10/1/1995,3,0,
86,Anthony Firkser\FirkAn00,26,TE,15,1,246,6-2,Harvard,2/19/1995,3,3,
10,Dez Fitzpatrick\FitzDe00,24,WR,4,0,210,6-2,Louisville,12/17/1997,Rook,0,Tennessee Titans / 4th / 109th pick / 2021
45,D'Onta Foreman\ForeDO00,25,RB,9,3,236,6-1,Texas,4/24/1996,4,5,Houston Texans / 3rd / 89th pick / 2017
26,Kristian Fulton\FultKr00,23,CB,13,13,197,5-11,LSU,9/3/1998,1,4,Tennessee Titans / 2nd / 61st pick / 2020
78,Woodrow Hamilton\HamiWo00,29,DL,2,0,315,6-3,Mississippi,12/20/1992,5,0,
,Da'Shawn Hand\HandDa00,26,DE,1,0,297,6-3,Alabama,11/14/1995,3,0,Detroit Lions / 4th / 114th pick / 2018
68,Bobby Hart\HartBo00,27,OG,3,1,310,6-5,Florida St.,8/21/1994,6,1,New York Giants / 7th / 226th pick / 2015
22,Derrick Henry\HenrDe00,27,RB,8,8,247,6-3,Alabama,1/4/1994,5,7,Tennessee Titans / 2nd / 45th pick / 2016
40,Dontrell Hilliard\HillDo00,26,RB,8,5,202,5-11,Tulane,2/26/1995,3,3,
18,Kevin Hogan\HogaKe00,29,QB,1,0,218,6-3,Stanford,10/20/1992,5,0,Kansas City Chiefs / 5th / 162nd pick / 2016
16,Cody Hollister\HollCo00,28,WR,3,1,209,6-4,Arkansas,11/18/1993,2,0,
37,Amani Hooker\HookAm00,23,S,12,12,210,5-11,Iowa,6/14/1998,2,4,Tennessee Titans / 4th / 116th pick / 2019
89,Tommy Hudson\HudsTo00,24,TE,5,0,255,6-5,Arizona St.,2/22/1997,Rook,0,
83,Ryan Izzo\IzzoRy00,26,TE,1,0,255,6-5,Florida St.,12/21/1995,3,0,New England Patriots / 7th / 250th pick / 2018
35,Chris Jackson\JackCh01,23,S,12,3,193,5-10,Marshall,4/13/1998,1,1,Tennessee Titans / 7th / 243rd pick / 2020
20,Jackrabbit Jenkins\JenkJa03,33,CB,14,13,190,5-10,North AlabamaFlorida,10/29/1988,9,4,St. Louis Rams / 2nd / 39th pick / 2012
88,Marcus Johnson\JohnMa07,27,WR,7,3,207,6-1,Texas,8/5/1994,4,2,
60,Ben Jones\JoneBe01,32,C,17,17,308,6-3,Georgia,7/2/1989,9,8,Houston Texans / 4th / 99th pick / 2012
23,Chris Jones\JoneCh06,26,CB,7,0,200,6-0,Nebraska,8/13/1995,3,0,
42,Joseph Jones\JoneJo05,27,OLB,9,0,231,6-0,Northwestern,2/21/1994,4,1,
2,Julio Jones\JoneJu02,32,WR,10,10,220,6-3,Alabama,2/8/1989,10,4,Atlanta Falcons / 1st / 6th pick / 2011
90,Naquan Jones\JoneNa01,23,DT,13,5,338,6-4,Michigan St.,2/5/1998,Rook,3,
6,Brett Kern\KernBr20,35,P,14,0,214,6-2,Toledo,2/17/1986,13,1,
12,Mason Kinsey\KinsMa00,23,WR,1,0,195,6-0,Berry,8/29/1998,Rook,0,
71,Kendall Lamm\LammKe00,29,T,12,1,310,6-5,Appalachian St.,6/5/1992,6,1,
58,Harold Landry\LandHa00,25,OLB,17,17,252,6-2,Boston Col.,6/5/1996,3,11,Tennessee Titans / 2nd / 41st pick / 2018
61,Corey Levin\LeviCo00,27,OL,12,0,307,6-4,Chattanooga,8/12/1994,3,1,Tennessee Titans / 6th / 217th pick / 2017
77,Taylor Lewan\LewaTa00,30,OT,13,13,309,6-7,Michigan,7/22/1991,7,7,Tennessee Titans / 1st / 11th pick / 2014
51,David Long\LongDa04,25,LB,10,9,227,5-11,West Virginia,10/12/1996,2,5,Tennessee Titans / 6th / 188th pick / 2019
30,Greg Mabin\MabiGr00,27,CB,5,2,200,6-1,Iowa,6/25/1994,4,1,
30,Bradley McDougald\McDoBr01,31,FS,2,1,215,6-1,Kansas,11/15/1990,8,0,
81,Racey McMath\McMaRa00,22,WR,9,0,217,6-3,LSU,6/14/1999,Rook,0,Tennessee Titans / 6th / 205th pick / 2021
28,Jeremy McNichols\McNiJe00,26,RB,14,0,205,5-9,Boise St.,12/26/1995,4,3,Tampa Bay Buccaneers / 5th / 162nd pick / 2017
24,Elijah Molden\MoldEl00,22,CB,16,7,192,5-10,Washington,1/30/1999,Rook,3,Tennessee Titans / 3rd / 100th pick / 2021
52,Daniel Munyer\MunyDa00,29,OL,1,0,305,6-1,Colorado,3/4/1992,6,0,
91,Larrell Murchison\MurcLa00,24,DL,11,5,297,6-2,North Carolina St.,4/24/1997,1,3,Tennessee Titans / 5th / 174th pick / 2020
94,Kyle Peko\PekoKy00,28,DT,8,3,305,6-1,Oregon St.,7/23/1993,5,2,
8,Adrian Peterson\PeteAd01,36,RB,3,2,220,6-1,Oklahoma,3/21/1985,14,1,Minnesota Vikings / 1st / 7th pick / 2007
85,MyCole Pruitt\PruiMy00,29,TE,16,9,245,6-2,Southern Illinois,3/24/1992,6,1,Minnesota Vikings / 5th / 143rd pick / 2015
72,David Quessenberry\QuesDa00,31,OT,17,17,310,6-5,San Jose St.,8/24/1990,8,9,Houston Texans / 6th / 176th pick / 2013
75,Dillon Radunz\RaduDi00,23,OL,12,1,301,6-6,North Dakota St.,3/28/1998,Rook,1,Tennessee Titans / 2nd / 53rd pick / 2021
97,Caraun Reid\ReidCa00,30,DT,1,0,292,6-2,Princeton,11/23/1991,7,0,Detroit Lions / 5th / 158th pick / 2014
18,Josh Reynolds\ReynJo00,26,WR,5,0,196,6-3,Texas A&M,2/16/1995,4,1,Los Angeles Rams / 4th / 117th pick / 2017
56,Monty Rice\RiceMo00,22,LB,10,4,233,6-0,Georgia,1/8/1999,Rook,2,Tennessee Titans / 3rd / 92nd pick / 2021
50,Derick Roberson\RobeDe01,26,DE,5,0,250,6-3,Sam Houston St.,11/15/1995,2,0,
80,Chester Rogers\RogeCh02,27,WR,16,2,184,6-0,Grambling St.,1/12/1994,5,3,
95,Anthony Rush\RushAn00,25,NT,2,0,361,6-4,Ala-Birmingham,9/1/1996,2,0,
76,Rodger Saffold\SaffRo20,33,T,15,15,325,6-5,Indiana,6/6/1988,11,9,St. Louis Rams / 2nd / 33rd pick / 2010
70,Ty Sambrailo\SambTy00,29,OT,4,1,311,6-5,Colorado St.,3/10/1992,6,1,Denver Broncos / 2nd / 59th pick / 2015
38,Mekhi Sargent\SargMe00,24,RB,3,0,208,5-8,Iowa WesternIowa,10/8/1997,Rook,0,
98,Jeffery Simmons\SimmJe01,24,DL,17,17,305,6-4,Mississippi St.,7/28/1997,2,14,Tennessee Titans / 1st / 19th pick / 2019
59,John Simon\SimoJo01,31,DE,2,0,260,6-2,Ohio St.,10/14/1990,8,0,Baltimore Ravens / 4th / 129th pick / 2013
38,Buster Skrine\SkriBu00,32,DB,6,3,187,5-9,Chattanooga,4/26/1989,10,1,Cleveland Browns / 5th / 137th pick / 2011
97,Kevin Strong\StroKe00,25,DT,5,0,295,6-4,Texas-San Antonio,8/5/1996,2,0,
87,Geoff Swaim\SwaiGe00,28,TE,16,16,260,6-4,Texas,9/16/1993,6,2,Dallas Cowboys / 7th / 246th pick / 2015
17,Ryan Tannehill\TannRy00,33,QB,17,17,217,6-4,Texas A&M,7/27/1988,9,13,Miami Dolphins / 1st / 8th pick / 2012
93,Teair Tart\TartTe00,24,DT,11,10,304,6-2,Florida International,2/28/1997,1,4,
8,Johnny Townsend\TownJo01,26,P,3,0,205,6-1,Florida,2/14/1995,3,0,Oakland Raiders / 5th / 173rd pick / 2018
99,Rashad Weaver\WeavRa00,24,OLB,2,0,259,6-4,Pittsburgh,11/10/1997,Rook,0,Tennessee Titans / 4th / 135th pick / 2021
15,Nick Westbrook-Ikhine\WestNi00,24,WR,16,7,215,6-2,Indiana,3/21/1997,1,5,
33,Jordan Wilkins\WilkJo01,27,RB,1,0,216,6-1,Mississippi,7/18/1994,3,0,Indianapolis Colts / 5th / 169th pick / 2018
53,Avery Williamson\WillAv00,29,ILB,2,0,246,6-1,Kentucky,3/9/1992,7,0,Tennessee Titans / 5th / 151st pick / 2014
5,Logan Woodside\WoodLo00,26,QB,5,0,213,6-1,Toledo,1/27/1995,3,0,Cincinnati Bengals / 7th / 249th pick / 2018
,Team Total,26.8,,17,,244.7,6-1.7,,,4.0,,
