No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
99,Trevis Gipson\GipsTr00,24,DL,16,9,263,6-4,Tulsa,6/13/1997,1,4,Chicago Bears / 5th / 155th pick / 2020
91,Eddie Goldman\GoldEd00,27,DT,14,10,325,6-3,Florida St.,1/6/1994,6,4,Chicago Bears / 2nd / 39th pick / 2015
84,Marquise Goodwin\GoodMa00,31,WR,14,2,180,5-9,Texas,11/19/1990,8,3,Buffalo Bills / 3rd / 78th pick / 2013
80,Jimmy Graham\GrahJi00,35,TE,15,6,259,6-7,Miami (FL),11/24/1986,11,1,New Orleans Saints / 3rd / 95th pick / 2010
27,Thomas Graham\GrahTh00,22,CB,4,1,193,5-11,Oregon,6/26/1999,Rook,0,Chicago Bears / 6th / 228th pick / 2021
17,Jakeem Grant\GranJa00,29,WR,11,0,171,5-7,Texas Tech,10/30/1992,5,2,Miami Dolphins / 6th / 186th pick / 2016
24,Khalil Herbert\HerbKh00,23,RB,17,2,212,5-9,KansasVirginia Tech,4/21/1998,Rook,3,Chicago Bears / 6th / 217th pick / 2021
96,Akiem Hicks\HickAk00,32,DE,9,9,335,6-4,Regina,11/16/1989,9,3,New Orleans Saints / 3rd / 89th pick / 2012
81,J.P. Holtz\HoltJ.01,28,TE,13,0,246,6-3,Pittsburgh,8/28/1993,3,0,
87,Jesper Horsted\HorsJe00,24,WR,7,0,241,6-4,Princeton,2/27/1997,2,0,
36,DeAndre Houston-Carson\HousDe00,28,FS,13,3,202,6-0,William & Mary,4/13/1993,5,2,Chicago Bears / 6th / 185th pick / 2016
93,Margus Hunt\HuntMa00,34,DE,10,0,295,6-8,SMU,7/14/1987,8,1,Cincinnati Bengals / 2nd / 53rd pick / 2013
74,Germain Ifedi\IfedGe00,27,OT,9,7,344,6-5,Texas A&M,6/2/1994,5,3,Seattle Seahawks / 1st / 31st pick / 2016
46,Bruce Irvin\IrviBr00,34,DE,6,1,250,6-3,Butler (KS)West Virginia,11/1/1987,9,1,Seattle Seahawks / 1st / 15th pick / 2012
45,Joel Iyiegbuniwe\IyieJo00,26,LB,11,0,235,6-1,Western Kentucky,10/12/1995,3,1,Chicago Bears / 4th / 115th pick / 2018
4,Eddie Jackson\JackEd01,28,SS,14,14,206,6-0,Alabama,12/10/1993,4,4,Chicago Bears / 4th / 112th pick / 2017
18,Jesse James\JameJe00,27,TE,14,9,251,6-7,Penn St.,6/4/1994,6,1,Pittsburgh Steelers / 5th / 160th pick / 2015
76,Teven Jenkins\JenkTe00,23,T,6,2,320,6-6,Oklahoma St.,3/3/1998,Rook,1,Chicago Bears / 2nd / 39th pick / 2021
92,Caleb Johnson\JohnCa04,23,LB,14,0,227,6-2,Houston Baptist,7/28/1998,Rook,1,
33,Jaylon Johnson\JohnJa13,22,CB,15,15,196,6-0,Utah,4/19/1999,1,5,Chicago Bears / 2nd / 50th pick / 2020
57,Christian Jones\JoneCh05,30,ILB,17,1,245,6-3,Florida St.,2/18/1991,7,1,
31,Michael Joseph\JoseMi00,26,CB,1,0,194,6-0,Dubuque,3/19/1995,Rook,0,
46,Sam Kamara\KamaSa00,24,LB,8,0,275,6-2,Stony Brook,12/21/1997,Rook,0,
39,Thakarius Keyes\KeyeTh00,24,CB,1,0,202,6-1,Tulane,11/9/1997,1,0,Kansas City Chiefs / 7th / 237th pick / 2020
85,Cole Kmet\KmetCo00,22,TE,17,17,260,6-6,Notre Dame,3/10/1999,1,5,Chicago Bears / 2nd / 43rd pick / 2020
63,LaCale London\LondLa00,24,DT,1,0,280,6-5,Western Illinois,8/5/1997,Rook,0,
52,Khalil Mack\MackKh00,30,OLB,7,7,267,6-3,Buffalo,2/22/1991,7,3,Oakland Raiders / 1st / 5th pick / 2014
43,Ledarius Mack\MackLe01,25,DE,3,0,240,6-1,Buffalo,10/3/1996,Rook,0,
59,Cassius Marsh\MarsCa00,29,DE,4,0,254,6-4,UCLA,7/7/1992,7,0,Seattle Seahawks / 4th / 108th pick / 2014
32,David Montgomery\MontDa01,24,RB,13,13,224,5-11,Iowa St.,6/7/1997,2,6,Chicago Bears / 3rd / 73rd pick / 2019
11,Darnell Mooney\MoonDa00,24,WR,17,14,173,5-11,Tulane,10/29/1997,1,9,Chicago Bears / 5th / 173rd pick / 2020
67,Sam Mustipher\MustSa01,25,C,17,17,332,6-2,Notre Dame,8/13/1996,1,6,
35,Ryan Nall\NallRy00,26,RB,9,0,239,6-2,Oregon St.,12/27/1995,2,0,
83,Dazz Newsome\NewsDa00,22,WR,3,1,190,5-11,North Carolina,5/15/1999,Rook,0,Chicago Bears / 6th / 221st pick / 2021
98,Bilal Nichols\NichBi00,25,DT,17,15,302,6-3,Delaware,9/14/1996,3,6,Chicago Bears / 5th / 145th pick / 2018
16,Pat O'Donnell\ODonPa00,30,P,17,0,223,6-4,Miami (FL),2/22/1991,7,2,Chicago Bears / 6th / 191st pick / 2014
44,Alec Ogletree\OgleAl00,30,OLB,16,16,250,6-3,Georgia,9/25/1991,8,6,St. Louis Rams / 1st / 30th pick / 2013
71,Jason Peters\PeteJa21,39,T,15,15,328,6-4,Arkansas,1/22/1982,17,6,
31,Artavis Pierce\PierAr00,25,RB,1,0,208,5-11,Oregon St.,5/17/1996,1,0,
94,Robert Quinn\QuinRo00,31,DE,16,16,245,6-4,North Carolina,5/18/1990,10,11,St. Louis Rams / 1st / 14th pick / 2011
12,Allen Robinson\RobiAl02,28,WR,12,11,220,6-2,Penn St.,8/24/1993,7,3,Jacksonville Jaguars / 2nd / 61st pick / 2014
2,Cairo Santos\SantCa01,30,K,17,0,175,5-8,Tulane,11/12/1991,7,3,
48,Patrick Scales\ScalPa00,33,LS,17,0,226,6-3,Utah St.,2/11/1988,7,1,
20,Duke Shelley\ShelDu00,25,CB,10,4,176,5-9,Kansas St.,10/8/1996,2,1,Chicago Bears / 6th / 205th pick / 2019
73,Lachavious Simmons\SimmLa00,25,G,2,1,319,6-5,Tennessee St.,9/12/1996,Rook,0,Chicago Bears / 7th / 227th pick / 2020
58,Roquan Smith\SmitRo07,24,ILB,17,17,232,6-1,Georgia,4/8/1997,3,11,Chicago Bears / 1st / 8th pick / 2018
49,Charles Snowden\SnowCh00,23,OLB,2,0,240,6-7,Virginia,3/27/1998,Rook,0,
79,Damion Square\SquaDa00,32,DE,1,0,293,6-2,Alabama,2/6/1989,8,0,
37,Teez Tabor\TaboTe00,26,CB,6,1,191,6-0,Florida,12/31/1995,4,1,Detroit Lions / 2nd / 53rd pick / 2017
79,Alex Taylor\TaylAl02,24,T,1,0,301,6-8,South Carolina St.,4/29/1997,1,0,
95,Khyiris Tonga\TongKh00,25,DT,15,2,338,6-4,BYU,7/7/1996,Rook,2,Chicago Bears / 7th / 250th pick / 2021
59,Danny Trevathan\TrevDa00,31,OLB,5,1,239,6-0,Kentucky,3/24/1990,9,1,Denver Broncos / 6th / 188th pick / 2012
22,Kindle Vildor\VildKi00,24,CB,17,12,189,5-11,Georgia Southern,12/11/1997,1,4,Chicago Bears / 5th / 163rd pick / 2020
30,Dee Virgin\VirgDe00,28,CB,2,0,195,5-9,West Alabama,10/29/1993,3,0,
15,Nsimba Webster\WebsNs00,25,WR,6,0,180,5-10,East. Washington,1/27/1996,2,0,
65,Cody Whitehair\WhitCo03,29,OG,17,17,316,6-3,Kansas St.,7/11/1992,5,6,Chicago Bears / 2nd / 56th pick / 2016
70,Elijah Wilkinson\WilkEl00,26,OT,13,1,322,6-6,Massachusetts,2/10/1995,4,1,
8,Damien Williams\WillDa05,29,RB,12,2,225,5-11,Oklahoma,4/3/1992,7,2,
55,Josh Woods\WoodJo02,25,LB,1,0,236,6-1,Maryland,7/1/1996,2,0,
,Team Total,27,,17,,245.3,6-2.0,,,4.1,,
