No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
91,Raymond Johnson\JohnRa02,23,DE,15,0,270,6-3,Georgia Southern,10/21/1998,Rook,1,
8,Daniel Jones\JoneDa05,24,QB,11,11,221,6-5,Duke,5/27/1997,2,7,New York Giants / 1st / 6th pick / 2019
,Derrick Kelly\KellDe01,26,T,1,0,320,6-5,Florida St.,8/23/1995,1,0,
58,Casey Kreiter\KreiCa00,31,LS,17,0,250,6-1,Iowa,8/13/1990,5,1,
97,Dexter Lawrence\LawrDe03,24,DL,16,10,342,6-4,Clemson,11/12/1997,2,5,New York Giants / 1st / 17th pick / 2019
66,Shane Lemieux\LemiSh00,24,OL,1,1,310,6-4,Oregon,5/12/1997,1,0,New York Giants / 5th / 150th pick / 2020
20,Julian Love\LoveJu00,23,CB,17,5,195,5-11,Notre Dame,3/19/1998,2,3,New York Giants / 4th / 108th pick / 2019
63,Wes Martin\MartWe00,25,G,7,1,315,6-3,Indiana,5/9/1996,2,1,Washington Redskins / 4th / 131st pick / 2019
54,Blake Martinez\MartBl01,27,ILB,3,3,237,6-2,Stanford,1/9/1994,5,1,Green Bay Packers / 4th / 131st pick / 2016
49,Benardrick McKinney\McKiBe00,29,ILB,11,3,257,6-4,Mississippi St.,11/19/1992,6,2,Houston Texans / 2nd / 43rd pick / 2015
29,Xavier McKinney\McKiXa00,22,S,17,16,201,6-0,Alabama,8/9/1999,1,7,New York Giants / 2nd / 36th pick / 2020
96,David Moa\MoaxDa00,25,DT,4,1,296,6-3,Boise St.,6/14/1996,Rook,1,
41,Chris Myarick\MyarCh00,26,TE,8,3,255,6-5,Temple,10/6/1995,1,0,
51,Azeez Ojulari\OjulAz00,21,LB,17,13,249,6-2,Georgia,6/16/2000,Rook,7,New York Giants / 2nd / 50th pick / 2021
38,Steven Parker\ParkSt00,26,DB,9,0,210,6-1,Oklahoma,12/14/1995,2,0,
74,Matt Peart\PearMa00,24,OL,15,5,318,6-7,Connecticut,6/11/1997,1,2,New York Giants / 3rd / 99th pick / 2020
39,Elijhaa Penny\PennEl00,28,RB,17,3,234,6-2,Cerritos (CA)Idaho,8/17/1993,4,1,
21,Jabrill Peppers\PeppJa00,26,SS,6,5,215,5-11,Michigan,10/4/1995,4,2,Cleveland Browns / 1st / 25th pick / 2017
13,Dante Pettis\PettDa00,26,WR,3,0,195,6-1,Washington,10/23/1995,3,1,San Francisco 49ers / 2nd / 44th pick / 2018
69,Billy Price\PricBi01,27,C,16,15,308,6-4,Ohio St.,10/11/1994,3,5,Cincinnati Bengals / 1st / 21st pick / 2018
55,Reggie Ragland\RaglRe00,28,ILB,17,9,252,6-2,Alabama,9/23/1993,4,5,Buffalo Bills / 2nd / 41st pick / 2016
27,J.R. Reed\ReedJR01,25,DB,8,0,194,6-1,GeorgiaGeorgia,3/11/1996,1,0,
33,Aaron Robinson\RobiAa00,24,DB,9,2,193,6-1,AlabamaCentral Florida,11/10/1997,Rook,1,New York Giants / 3rd / 71st pick / 2021
93,Quincy Roche\RochQu00,23,LB,14,3,245,6-3,TempleMiami (FL),2/10/1998,Rook,2,Pittsburgh Steelers / 6th / 216th pick / 2021
12,John Ross\RossJo00,26,WR,10,1,194,5-11,Washington,11/27/1995,4,2,Cincinnati Bengals / 1st / 9th pick / 2017
80,Kyle Rudolph\RudoKy00,32,TE,16,13,265,6-6,Notre Dame,11/9/1989,10,2,Minnesota Vikings / 2nd / 43rd pick / 2011
23,Logan Ryan\RyanLo00,30,CB,15,15,195,5-11,Rutgers,2/9/1991,8,5,New England Patriots / 3rd / 83rd pick / 2013
75,Danny Shelton\ShelDa01,28,DT,13,0,345,6-2,Washington,8/20/1993,6,1,Cleveland Browns / 1st / 12th pick / 2015
3,Sterling Shepard\ShepSt00,28,WR,7,6,201,5-10,Oklahoma,2/10/1993,5,2,New York Giants / 2nd / 40th pick / 2016
84,David Sills\SillDa01,25,WR,4,1,210,6-3,West Virginia,5/29/1996,Rook,0,
67,Matt Skura\SkurMa01,28,C,14,14,305,6-3,Duke,2/17/1993,4,4,
86,Darius Slayton\SlayDa01,24,WR,13,5,190,6-1,Auburn,1/12/1997,2,2,New York Giants / 5th / 171st pick / 2019
58,Elerson Smith\SmitEl00,23,DE,8,0,255,6-7,Northern Iowa,7/17/1998,Rook,1,New York Giants / 4th / 116th pick / 2021
45,Jaylon Smith\SmitJa05,26,OLB,4,2,245,6-2,Notre Dame,6/14/1995,4,1,Dallas Cowboys / 2nd / 34th pick / 2016
82,Kaden Smith\SmitKa00,24,TE,9,4,249,6-5,Stanford,4/24/1997,2,0,San Francisco 49ers / 6th / 176th pick / 2019
76,Nate Solder\SoldNa00,33,OL,16,16,325,6-8,Colorado,4/12/1988,10,6,New England Patriots / 1st / 17th pick / 2011
78,Andrew Thomas\ThomAn02,22,OL,13,13,315,6-5,Georgia,1/22/1999,1,5,New York Giants / 1st / 4th pick / 2020
89,Kadarius Toney\ToneKa00,22,WR,10,4,193,6-0,Florida,1/27/1999,Rook,3,New York Giants / 1st / 20th pick / 2021
34,Jarren Williams\WillJa09,24,DB,6,2,187,5-10,Albany (NY),7/18/1997,1,1,
99,Leonard Williams\WillLe02,27,DT,17,17,302,6-5,USC,6/20/1994,6,9,New York Jets / 1st / 6th pick / 2015
25,Rodarius Williams\WillRo07,25,CB,5,0,193,6-0,Oklahoma St.,9/12/1996,Rook,0,New York Giants / 6th / 201st pick / 2021
53,Oshane Ximines\XimiOs00,25,EDGE,10,0,254,6-4,Old Dominion,12/7/1996,2,1,New York Giants / 3rd / 95th pick / 2019
,Team Total,26,,17,,243.1,6-2.3,,,3.0,,
