No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
63,Yasir Durant\DuraYa01,23,T,7,1,330,6-7,Missouri,5/21/1998,1,1,
95,Daniel Ekuale\EkuaDa00,27,DL,7,0,300,6-3,Washington St.,1/13/1994,2,1,
65,James Ferentz\FereJa00,32,C,3,2,300,6-2,Iowa,6/5/1989,7,1,
6,Nick Folk\FolkNi20,37,K,17,0,222,6-1,Arizona,11/5/1984,14,4,Dallas Cowboys / 6th / 178th pick / 2007
92,Davon Godchaux\GodcDa00,27,DT,17,16,311,6-3,LSU,11/11/1994,4,9,Miami Dolphins / 5th / 178th pick / 2017
93,Lawrence Guy\GuyxLa00,31,DT,17,17,315,6-4,Arizona St.,3/17/1990,10,10,Green Bay Packers / 7th / 233rd pick / 2011
37,Damien Harris\HarrDa06,24,RB,15,15,213,5-11,Alabama,2/11/1997,2,8,New England Patriots / 3rd / 87th pick / 2019
1,N'Keal Harry\HarrNK00,24,WR,12,4,225,6-4,Arizona St.,12/17/1997,2,2,New England Patriots / 1st / 32nd pick / 2019
85,Hunter Henry\HenrHu00,27,TE,17,10,250,6-5,Arkansas,12/7/1994,5,6,San Diego Chargers / 2nd / 35th pick / 2016
75,Justin Herron\HerrJu00,26,OL,16,4,305,6-5,Wake Forest,11/27/1995,1,3,New England Patriots / 6th / 195th pick / 2020
54,Dont'a Hightower\HighDo01,31,ILB,15,15,260,6-3,Alabama,3/12/1990,9,8,New England Patriots / 1st / 25th pick / 2012
5,Brian Hoyer\HoyeBr00,36,QB,5,0,216,6-2,Michigan St.,10/13/1985,12,1,
27,J.C. Jackson\JackJ.00,26,DB,17,17,198,6-1,FloridaRiverside CCMaryland,11/17/1995,3,12,
47,Jakob Johnson\JohnJa12,27,FB,17,6,255,6-3,Tennessee,12/15/1994,2,0,
31,Jonathan Jones\JoneJo03,28,CB,6,1,190,5-10,Auburn,9/20/1993,5,1,
10,Mac Jones\JoneMa05,23,QB,17,17,217,6-3,Alabama,9/5/1998,Rook,14,New England Patriots / 1st / 15th pick / 2021
9,Matt Judon\JudoMa00,29,DE,17,16,275,6-3,Grand Valley St.,8/15/1992,5,14,Baltimore Ravens / 5th / 146th pick / 2016
67,Ted Karras\KarrTe00,28,OG,17,13,305,6-4,Illinois,3/15/1993,5,7,New England Patriots / 6th / 221st pick / 2016
36,Brandon King\KingBr02,28,DB,16,0,220,6-2,Auburn,6/8/1993,6,1,
83,Matt LaCosse\LaCoMa00,29,TE,1,0,255,6-6,Illinois,9/21/1992,6,0,
48,Harvey Langi\LangHa00,29,ILB,7,1,250,6-2,BYU,9/24/1992,4,1,
69,Shaq Mason\MasoSh01,28,G,15,15,310,6-1,Georgia Tech,8/28/1993,6,7,New England Patriots / 4th / 131st pick / 2015
32,Devin McCourty\McCoDe99,34,DB,17,17,195,5-10,Rutgers,8/13/1987,11,7,New England Patriots / 1st / 27th pick / 2010
16,Jakobi Meyers\MeyeJa01,25,WR,17,16,200,6-2,North Carolina St.,11/9/1996,2,9,
2,Jalen Mills\MillJa02,27,CB,16,16,191,6-0,LSU,4/6/1994,5,6,Philadelphia Eagles / 7th / 233rd pick / 2016
43,Calvin Munson\MunsCa00,27,OLB,6,0,243,6-0,San Diego St.,12/27/1994,4,1,
80,Gunner Olszewski\OlszGu00,25,WR,16,0,190,6-0,Bemidji St.,11/26/1996,2,0,
71,Michael Onwenu\OnweMi00,24,OL,16,8,350,6-3,Michigan,12/10/1997,1,5,New England Patriots / 6th / 182nd pick / 2020
21,Adrian Phillips\PhilAd00,29,DB,17,13,210,5-11,Texas,3/28/1992,7,6,
39,D'Angelo Ross\RossDA03,25,DB,3,1,190,5-9,New Mexico,10/29/1996,Rook,0,
68,William Sherman\SherWi01,22,T,1,0,310,6-4,Colorado,5/27/1999,Rook,0,New England Patriots / 6th / 197th pick / 2021
18,Matthew Slater\SlatMa00,36,WR,17,0,205,6-0,UCLA,9/9/1985,13,0,New England Patriots / 5th / 153rd pick / 2008
81,Jonnu Smith\SmitJo01,26,TE,16,11,248,6-3,Florida International,8/22/1995,4,3,Tennessee Titans / 3rd / 100th pick / 2017
38,Rhamondre Stevenson\StevRh00,23,RB,12,2,227,6-0,Cerritos (CA)Oklahoma,2/23/1998,Rook,5,New England Patriots / 4th / 120th pick / 2021
48,Jahlani Tavai\TavaJa00,25,LB,13,0,250,6-2,Hawaii,9/28/1996,2,2,Detroit Lions / 2nd / 43rd pick / 2019
42,J.J. Taylor\TaylJJ01,23,RB,5,0,185,5-6,Arizona,1/4/1998,1,0,
55,Josh Uche\UcheJo00,23,LB,12,0,245,6-3,Michigan,9/18/1998,1,2,New England Patriots / 2nd / 60th pick / 2020
53,Kyle Van Noy\VanNKy00,30,OLB,16,8,250,6-3,BYU,3/26/1991,7,7,Detroit Lions / 2nd / 40th pick / 2014
26,Shaun Wade\WadeSh00,23,CB,3,0,191,6-1,Ohio St.,9/15/1998,Rook,0,Baltimore Ravens / 5th / 160th pick / 2021
28,James White\WhitJa02,29,RB,3,0,205,5-10,Wisconsin,2/3/1992,7,1,New England Patriots / 4th / 130th pick / 2014
17,Kristian Wilkerson\WilkKr00,24,WR,3,1,214,6-1,SE Missouri St.,1/10/1997,1,0,
33,Joejuan Williams\WillJo13,24,CB,12,1,212,6-3,Vanderbilt,12/6/1997,2,1,New England Patriots / 2nd / 45th pick / 2019
50,Chase Winovich\WinoCh00,26,EDGE,13,0,250,6-3,Michigan,4/19/1995,2,1,New England Patriots / 3rd / 77th pick / 2019
91,Deatrich Wise Jr.\WiseDe00,27,DE,16,9,275,6-5,Arkansas,7/26/1994,4,6,New England Patriots / 4th / 131st pick / 2017
76,Isaiah Wynn\WynnIs00,26,OT,16,15,310,6-2,Georgia,12/9/1995,3,9,New England Patriots / 1st / 23rd pick / 2018
,Team Total,27.2,,17,,247.4,6-2.0,,,4.3,,
